vesselUid,mmsi,imo,longitude,latitude,sog,cog,rot,heading,navStatus,posMsgType,posSrc,vesselName,callsign,flag,vesselTypeAis,vesselType,length,width,dwt,grt,destination,eta,draught,staticMsgType,staticSrc,posDt,staticDt,insertDt
147849,213899000,,41.64277387991815,41.665085072710966,0.0,357.4,0.03,,99,18.0,TER,CAPTAIN T. PAGAVA,4LUJ,GE,52.0,TUG,15,5,,,,,0.0,,,2022-02-23 04:55:08+00:00,2022-02-23T04:40:26Z,2022-02-23T04:57:16Z
364482,305394000,9245275.0,29.53112835574247,40.776808893495385,0.0,150.3,0.01,135.0,1,3.0,SAT,ONEGO CAPRI,V2ED7,AG,70.0,GENERAL CARGO SHIP,139,16,10273.0,6806.0,TRGEB,2022-02-18T07:00:00Z,8.0,,,2022-02-23 04:55:21+00:00,2022-02-23T04:12:11Z,2022-02-23T04:57:47Z
300856,256049000,9306718.0,29.886602583471745,40.76018021013933,0.0,3.5,0.12,359.0,5,3.0,SAT,NEPTUNE THELISIS,9HZV7,MT,70.0,CARGO RO RO,165,26,6200.0,27788.0,TRYEK,2022-02-23T21:30:00Z,5.4,,,2022-02-23 04:56:19+00:00,2022-02-23T04:35:36Z,2022-02-23T04:56:21Z
347939,273345930,8945086.0,38.50335071148479,46.98822823836879,0.0,292.5,-0.06,12.0,0,1.0,ROAM,VICTOR MARTYNENKO,UBHG5,RU,70.0,GENERAL CARGO SHIP,138,17,5346.0,5088.0,ROSTOV,2022-02-23T18:00:00Z,2.8,,,2022-02-23 05:07:33+00:00,2022-02-23T04:56:44Z,2022-02-23T05:09:32Z
279556,620239000,7382366.0,30.684239193469992,46.33609085337861,0.1,179.5,0.02,180.0,5,3.0,TER,CENK M,D6A2239,KM,60.0,CARGO RO RO,168,21,10300.0,8619.0,UAILK,2022-02-23T17:00:00Z,5.0,,,2022-02-23 05:15:39+00:00,2022-02-23T04:16:29Z,2022-02-23T05:15:45Z
146121,354633000,9194440.0,29.131854913942657,40.42641897629337,0.0,308.1,0.02,162.0,1,3.0,TER,GOLDEN ARROW,3EUT8,PA,71.0,BULK CARRIER,134,21,14181.0,8486.0,GEMLIK,2022-02-23T17:00:00Z,7.9,,,2022-02-23 05:20:45+00:00,2022-02-23T04:27:07Z,2022-02-23T05:22:21Z
21065,2070414,,28.479959253755247,43.37662296126897,0.0,357.6,0.1,,95,,TER,VTS 2070414,,,200.0,MANNED VTS,0,0,,,,,,,,2022-02-23 05:27:26+00:00,2022-02-23T04:54:29Z,2022-02-23T05:29:53Z
123890,255806155,9521435.0,34.72981706445953,43.51792380969559,9.33,242.3,-0.06,246.0,0,1.0,ROAM,NORDROSE,CQAE9,PT,80.0,LIQUID TANKER,229,42,104583.0,56320.0,RUNVS>TRIST,2022-02-25T03:00:00Z,8.3,,,2022-02-23 05:27:53+00:00,2022-02-23T04:32:15Z,2022-02-23T05:30:45Z
4051128,271044439,9771250.0,29.55084875334118,40.76570037720799,0.0,213.9,-0.08,,99,18.0,SAT,BOGACAY XXI,TCA3992,TR,52.0,TOWING VESSEL,24,11,1.0,312.0,YILPORT,2022-01-01T23:59:00Z,5.1,,,2022-02-23 05:34:56+00:00,2022-02-23T05:22:56Z,2022-02-23T05:37:28Z
755808,636015815,9582506.0,29.222113985094257,41.73953340836394,11.01,195.7,-0.05,189.0,0,27.0,SAT,KARPATY,D5CZ3,LR,70.0,BULK CARRIER,229,32,82600.0,43025.0,TR IST,2022-02-25T13:30:00Z,6.9,,,2022-02-23 05:40:32+00:00,2022-02-23T05:08:36Z,2022-02-23T05:42:32Z
335621,271002108,7514359.0,29.11773243855292,40.45598183179121,0.4,59.1,0.06,,99,18.0,TER,ILYAS ARAZ,TCAS9,TR,70.0,GENERAL CARGO SHIP,71,11,2030.0,1144.0,,,0.0,,,2022-02-23 05:45:06+00:00,2022-02-23T05:42:15Z,2022-02-23T05:45:30Z
851036,992711297,,41.29157518146381,41.338988285474485,0.0,355.9,0.06,,98,,ROAM,ARHAVI BKW PSLT,,,113.0,"BEACON, PORT HAND",8,83,,,,,,,,2022-02-23 05:51:24+00:00,2022-02-23T05:47:33Z,2022-02-23T05:52:06Z
348846,273359180,9621558.0,28.8563437125973,40.96092128514172,0.1,149.4,-3.46,15.0,1,1.0,TER,KARAKUZ,UBAJ2,RU,81.0,LIQUID TANKER,140,17,6640.0,4531.0,NOVOROSSIYSK,2022-02-25T08:00:00Z,2.9,,,2022-02-23 05:55:19+00:00,2022-02-23T04:55:24Z,2022-02-23T05:57:47Z
